#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 3, Rank-14: (1) 0 | (2) 5222 | (3)0/100 | (4) 180, 180 | (5) 12.2339 | (6) 209.548 | (7) 0.000249752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.9259/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (328350, 115785) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.5446 | (25) (0.45118, 140-66) | (26) 31550 | (27) -0.31061
Output number: 3, Rank-27: (1) 2 | (2) 5229 | (3)0.0382482/100 | (4) 190, 190 | (5) 13.0141 | (6) 199.542 | (7) 0.000266478 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.2593/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (349930, 120840) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.3696 | (25) (0.53488, 126-32) | (26) 41530 | (27) -0.78385
Output number: 3, Rank-8: (1) 0 | (2) 5257 | (3)0/100 | (4) 185, 185 | (5) 12.4598 | (6) 206.114 | (7) 0.000252743 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.3704/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (336916, 117408) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3259 | (25) (0.52818, 102-17) | (26) 36558 | (27) -0.3592
Output number: 3, Rank-9: (1) 0 | (2) 5257 | (3)0/100 | (4) 188, 188 | (5) 12.7856 | (6) 200.429 | (7) 5.448e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (340850, 119331) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.8701 | (25) (0.5105, 99-28) | (26) 43843 | (27) -0.73894
Output number: 3, Rank-21: (1) 90 | (2) 5208 | (3)1.72811/100 | (4) 273, 273 | (5) 16.448 | (6) 193.541 | (7) 0.000140342 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 38.7037/100 | (15) 0 | (17) (273, 273) | (18) X | (19) (394513, 154481) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 259.731 | (25) (33.667, 126-2) | (26) 7436 | (27) -0.31711
Output number: 3, Rank-10: (1) 1 | (2) 5228 | (3)0.0191278/100 | (4) 186, 186 | (5) 12.4527 | (6) 211.435 | (7) 0.000109644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.2963/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (336475, 116506) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.1714 | (25) (0.43619, 73-7) | (26) 3643 | (27) -1.14167
Output number: 3, Rank-12: (1) 0 | (2) 5257 | (3)0/100 | (4) 188, 188 | (5) 12.6047 | (6) 205.313 | (7) 0.000107645 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.1852/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (338379, 118526) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.2786 | (25) (0.46528, 81-18) | (26) 7219 | (27) -0.68406
Output number: 3, Rank-13: (1) 0 | (2) 5256 | (3)0/100 | (4) 185, 185 | (5) 12.4215 | (6) 203.621 | (7) 0.00014748 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (331273, 116583) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.5113 | (25) (0.46271, 71-33) | (26) 11522 | (27) -0.69396
Output number: 3, Rank-15: (1) 0 | (2) 5249 | (3)0/100 | (4) 190, 190 | (5) 12.928 | (6) 205.213 | (7) 7.2805e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.3704/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (344053, 122125) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.3761 | (25) (0.51345, 117-53) | (26) 6711 | (27) -0.65594
Output number: 3, Rank-16: (1) 15 | (2) 5248 | (3)0.285823/100 | (4) 201, 201 | (5) 12.5589 | (6) 202.841 | (7) 9.3717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.8148/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (340535, 125109) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.256 | (25) (0.43586, 103-66) | (26) 7906 | (27) -1.05597
Output number: 3, Rank-18: (1) 0 | (2) 5259 | (3)0/100 | (4) 185, 185 | (5) 12.3694 | (6) 203.816 | (7) 0.000101546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (333844, 117756) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4939 | (25) (0.4042, 115-46) | (26) 9711 | (27) -0.43034
Output number: 3, Rank-20: (1) 1 | (2) 5235 | (3)0.0191022/100 | (4) 189, 189 | (5) 12.63 | (6) 202.21 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (346509, 120204) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.0199 | (25) (0.40541, 126-45) | (26) 53863 | (27) -0.63486
Output number: 3, Rank-25: (1) 25 | (2) 5255 | (3)0.475737/100 | (4) 209, 209 | (5) 13.7417 | (6) 194.129 | (7) 4.8663e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 38.3333/100 | (15) 0 | (17) (209, 209) | (18) X | (19) (367732, 131147) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 75.6488 | (25) (0.5324, 110-31) | (26) 34286 | (27) -0.71395
Output number: 3, Rank-17: (1) 1 | (2) 5251 | (3)0.019044/100 | (4) 184, 184 | (5) 12.5251 | (6) 201.024 | (7) 9.2005e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.4444/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (333566, 116813) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.2935 | (25) (0.43879, 114-44) | (26) 51367 | (27) -0.40194
Output number: 3, Rank-0: (1) 82 | (2) 5236 | (3)1.56608/100 | (4) 262, 262 | (5) 13.8476 | (6) 202.676 | (7) 0.000184093 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (262, 262) | (18) X | (19) (369389, 145575) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 90.6236 | (25) (0.45305, 75-49) | (26) 15251 | (27) -2.18094
Output number: 3, Rank-1: (1) 0 | (2) 5259 | (3)0/100 | (4) 189, 189 | (5) 12.7384 | (6) 204.246 | (7) 7.4124e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (341257, 120009) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.3666 | (25) (0.51751, 109-29) | (26) 50243 | (27) -1.12843
Output number: 3, Rank-7: (1) 1 | (2) 5213 | (3)0.0191828/100 | (4) 183, 183 | (5) 12.2224 | (6) 202.729 | (7) 7.3361e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (333199, 115882) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.5075 | (25) (0.44109, 93-4) | (26) 30922 | (27) -0.73549
Output number: 3, Rank-11: (1) 0 | (2) 5225 | (3)0/100 | (4) 186, 186 | (5) 12.5982 | (6) 200.55 | (7) 2.7356e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (337413, 117477) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.0406 | (25) (0.4902, 78-7) | (26) 496 | (27) -0.36117
Output number: 3, Rank-97: (1) 33 | (2) 5236 | (3)0.630252/100 | (4) 223, 223 | (5) 39.3863 | (6) 185.459 | (7) 0.000250992 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.4815/100 | (15) 0 | (17) (223, 223) | (18) X | (19) (369001, 141980) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 823.213 | (25) (33.084, 78-89) | (26) 5315 | (27) -0.71533
Output number: 3, Rank-23: (1) 12 | (2) 4287 | (3)0.279916/100 | (4) 75, 75 | (5) 436.003 | (6) 46.4705 | (7) 5.9646e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 89.2593/100 | (15) 0 | (17) (75, 75) | (18) X | (19) (133511, 47072) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 2454.69 | (25) (34.0536, 141-5) | (26) 1 | (27) 162.924
Output number: 3, Rank-34: (1) 8 | (2) 5246 | (3)0.152497/100 | (4) 196, 196 | (5) 12.8358 | (6) 215.886 | (7) 0.000276825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.2222/100 | (15) 0 | (17) (196, 196) | (18) X | (19) (350168, 121191) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 70.1132 | (25) (0.50225, 3-31) | (26) 199366 | (27) -0.70521
Output number: 3, Rank-98: (1) 0 | (2) 5259 | (3)0/100 | (4) 179, 179 | (5) 12.0269 | (6) 202.869 | (7) 0.00019242 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (323805, 117211) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.9443 | (25) (0.43807, 74-109) | (26) 4066 | (27) -0.65235
Output number: 3, Rank-41: (1) 0 | (2) 5253 | (3)0/100 | (4) 183, 183 | (5) 12.5072 | (6) 205.586 | (7) 0.000273886 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.3704/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (331453, 114537) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3904 | (25) (0.45937, 54-16) | (26) 229245 | (27) -0.34627
Output number: 3, Rank-111: (1) 4 | (2) 5221 | (3)0.0766137/100 | (4) 192, 192 | (5) 12.9815 | (6) 196.866 | (7) 0.000253762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 38.7037/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (351690, 121232) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.9619 | (25) (0.55486, 31-137) | (26) 37761 | (27) -0.85783
Output number: 3, Rank-47: (1) 41 | (2) 5258 | (3)0.779764/100 | (4) 227, 227 | (5) 13.2683 | (6) 202.973 | (7) 0.000270083 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (227, 227) | (18) X | (19) (359547, 136215) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 80.3743 | (25) (0.47168, 58-50) | (26) 215582 | (27) -0.69196
Output number: 3, Rank-86: (1) 0 | (2) 5247 | (3)0/100 | (4) 184, 184 | (5) 12.4477 | (6) 201.847 | (7) 0.000262556 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (335911, 117228) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9871 | (25) (0.42821, 19-79) | (26) 28811 | (27) -1.00005
Output number: 3, Rank-56: (1) 0 | (2) 5248 | (3)0/100 | (4) 190, 190 | (5) 12.7405 | (6) 200.278 | (7) 0.000120644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.4444/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (346268, 124450) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.0532 | (25) (0.53036, 120-95) | (26) 72437 | (27) -1.05554
Output number: 3, Rank-87: (1) 0 | (2) 5267 | (3)0/100 | (4) 189, 189 | (5) 13.0173 | (6) 199.7 | (7) 0.000248885 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.2593/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (345395, 120393) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.1466 | (25) (0.53022, 33-102) | (26) 157165 | (27) -1.48361
Output number: 3, Rank-102: (1) 0 | (2) 5256 | (3)0/100 | (4) 186, 186 | (5) 12.4157 | (6) 200.586 | (7) 0.000110397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (338889, 119390) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.6895 | (25) (0.44508, 52-124) | (26) 19911 | (27) -0.44811
Output number: 3, Rank-104: (1) 0 | (2) 5207 | (3)0/100 | (4) 183, 183 | (5) 11.8607 | (6) 204.387 | (7) 8.6908e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (335793, 119468) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 60.9638 | (25) (0.4346, 78-142) | (26) 2775 | (27) -0.2356
Output number: 3, Rank-100: (1) 0 | (2) 5251 | (3)0/100 | (4) 182, 182 | (5) 11.9152 | (6) 199.693 | (7) 7.8526e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.0741/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (328979, 117324) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.6174 | (25) (0.4316, 61-106) | (26) 20501 | (27) -0.36593
Output number: 3, Rank-51: (1) 0 | (2) 5256 | (3)0/100 | (4) 190, 190 | (5) 12.7123 | (6) 205.446 | (7) 0.00014503 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.3704/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (342705, 120715) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.99 | (25) (0.43614, 24-71) | (26) 168820 | (27) -1.03902
Output number: 3, Rank-108: (1) 1 | (2) 5257 | (3)0.0190223/100 | (4) 188, 188 | (5) 12.5907 | (6) 205.05 | (7) 0.00010446 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.1852/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (342491, 119272) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4478 | (25) (0.50148, 27-114) | (26) 25167 | (27) -0.34681
Output number: 3, Rank-57: (1) 0 | (2) 5246 | (3)0/100 | (4) 184, 184 | (5) 12.7679 | (6) 209.717 | (7) 0.000113319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.1111/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (339975, 120520) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4951 | (25) (0.4406, 143-98) | (26) 62558 | (27) -0.68937
Output number: 3, Rank-4: (1) 21 | (2) 3677 | (3)0.571118/100 | (4) 82, 82 | (5) 513.919 | (6) 11.0369 | (7) 7.0017e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.001 | (14) 97.037/100 | (15) 0 | (17) (82, 82) | (18) X | (19) (154997, 53681) | (20) 1 | (21) 1 | (22) 0 | (23) 51 | (24) 2717.31 | (25) (33.8271, 72-68) | (26) 1 | (27) 1687.95
Output number: 3, Rank-49: (1) 0 | (2) 5216 | (3)0/100 | (4) 179, 179 | (5) 12.2168 | (6) 201.169 | (7) 0.000276091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.4444/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (325703, 113846) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3171 | (25) (0.4676, 13-76) | (26) 164351 | (27) -0.31194
Output number: 3, Rank-110: (1) 0 | (2) 5219 | (3)0/100 | (4) 186, 186 | (5) 12.1688 | (6) 202.613 | (7) 0.000147794 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (343079, 118622) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.692 | (25) (0.4112, 43-135) | (26) 24319 | (27) -0.22822
Output number: 3, Rank-62: (1) 0 | (2) 5234 | (3)0/100 | (4) 190, 190 | (5) 12.9148 | (6) 207.486 | (7) 0.000121399 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.7407/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (346314, 123142) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.5909 | (25) (0.4519, 129-73) | (26) 39964 | (27) -0.67566
Output number: 3, Rank-53: (1) 0 | (2) 5244 | (3)0/100 | (4) 184, 184 | (5) 12.5102 | (6) 201.748 | (7) 0.000255852 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (336884, 115063) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4096 | (25) (0.44608, 4-42) | (26) 213843 | (27) -0.31161
Output number: 3, Rank-109: (1) 10 | (2) 5265 | (3)0.189934/100 | (4) 197, 197 | (5) 12.9231 | (6) 195.912 | (7) 5.9994e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 38.5185/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (345485, 120321) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 70.9185 | (25) (0.4796, 22-122) | (26) 23833 | (27) -0.66909
Output number: 3, Rank-59: (1) 0 | (2) 5247 | (3)0/100 | (4) 186, 186 | (5) 12.6722 | (6) 201.589 | (7) 8.1555e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (336694, 121555) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.7192 | (25) (0.43874, 117-77) | (26) 41900 | (27) -0.70907
Output number: 3, Rank-50: (1) 0 | (2) 5242 | (3)0/100 | (4) 188, 188 | (5) 12.5781 | (6) 203.136 | (7) 8.0399e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.8148/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (342192, 119004) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.8655 | (25) (0.44281, 3-63) | (26) 259442 | (27) -0.68749
Output number: 3, Rank-84: (1) 3 | (2) 5252 | (3)0.0571211/100 | (4) 185, 185 | (5) 12.2584 | (6) 198.548 | (7) 7.0089e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 38.8889/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (330740, 117280) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.5033 | (25) (0.49788, 31-94) | (26) 32844 | (27) -0.35977
Output number: 3, Rank-60: (1) 4 | (2) 5259 | (3)0.0760601/100 | (4) 191, 191 | (5) 12.7748 | (6) 203.919 | (7) 0.000138605 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (191, 191) | (18) X | (19) (339331, 122786) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 70.4396 | (25) (0.56568, 107-73) | (26) 43303 | (27) -1.12877
Output number: 3, Rank-52: (1) 0 | (2) 5228 | (3)0/100 | (4) 183, 183 | (5) 12.2568 | (6) 213.094 | (7) 0.000128327 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.6667/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (334502, 115119) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.2139 | (25) (0.67969, 16-50) | (26) 200283 | (27) -0.76203
Output number: 3, Rank-88: (1) 13 | (2) 5251 | (3)0.247572/100 | (4) 194, 194 | (5) 12.3836 | (6) 204.24 | (7) 9.18e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (339432, 120912) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.0391 | (25) (0.46611, 26-104) | (26) 133427 | (27) -1.03478
Output number: 3, Rank-61: (1) 0 | (2) 5244 | (3)0/100 | (4) 179, 179 | (5) 12.2189 | (6) 201.998 | (7) 0.000139584 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (327015, 117013) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.7397 | (25) (0.46031, 139-82) | (26) 40823 | (27) -0.32371
Output number: 3, Rank-3: (1) 60 | (2) 4352 | (3)1.37868/100 | (4) 125, 125 | (5) 475.668 | (6) 23.8163 | (7) 0.000259687 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 92.4074/100 | (15) 0 | (17) (125, 125) | (18) X | (19) (328165, 99581) | (20) 1 | (21) 1 | (22) 0 | (23) 61 | (24) 2767.2 | (25) (33.2445, 74-55) | (26) 1 | (27) 1447.31
Output number: 3, Rank-54: (1) 1 | (2) 5251 | (3)0.019044/100 | (4) 186, 186 | (5) 12.2845 | (6) 207.044 | (7) 6.6628e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.5556/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (335821, 117304) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.1915 | (25) (0.4414, 22-49) | (26) 209545 | (27) -0.41131
Output number: 3, Rank-90: (1) 1 | (2) 5209 | (3)0.0191975/100 | (4) 184, 184 | (5) 12.3052 | (6) 205.405 | (7) 7.2962e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.1852/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (338779, 117208) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.4014 | (25) (0.45284, 11-104) | (26) 148672 | (27) -0.67106
Output number: 3, Rank-63: (1) 15 | (2) 5242 | (3)0.28615/100 | (4) 195, 195 | (5) 13.0936 | (6) 198.271 | (7) 0.000111099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.0741/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (340052, 127599) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.647 | (25) (33.314, 79-89) | (26) 1394 | (27) -0.70911
Output number: 3, Rank-29: (1) 12 | (2) 4478 | (3)0.267977/100 | (4) 61, 61 | (5) 366.236 | (6) 81.232 | (7) 5.7405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 82.7778/100 | (15) 0 | (17) (61, 61) | (18) X | (19) (113003, 36709) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2051.77 | (25) (34.2176, 0-5) | (26) 63147 | (27) -1.08967
Output number: 3, Rank-92: (1) 0 | (2) 5251 | (3)0/100 | (4) 185, 185 | (5) 12.2519 | (6) 205.089 | (7) 0.000109391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.1852/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (335180, 117989) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.741 | (25) (0.51045, 36-100) | (26) 25580 | (27) -1.0192
Output number: 3, Rank-65: (1) 0 | (2) 5261 | (3)0/100 | (4) 181, 181 | (5) 12.3966 | (6) 202.146 | (7) 9.4014e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.6296/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (327898, 118555) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.0049 | (25) (0.44548, 95-100) | (26) 78079 | (27) -0.71352
Output number: 3, Rank-26: (1) 59 | (2) 4517 | (3)1.30618/100 | (4) 162, 162 | (5) 432.701 | (6) 39.4679 | (7) 0.000249608 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 87.4074/100 | (15) 0 | (17) (162, 162) | (18) X | (19) (356909, 110239) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 2475.66 | (25) (33.8313, 137-13) | (26) 1 | (27) 65.9058
Output number: 3, Rank-55: (1) 2 | (2) 5253 | (3)0.0380735/100 | (4) 190, 190 | (5) 12.905 | (6) 205.643 | (7) 8.8896e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 40.3704/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (340707, 117892) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.3449 | (25) (0.44958, 23-43) | (26) 212741 | (27) -0.6746
Output number: 3, Rank-93: (1) 2 | (2) 5255 | (3)0.038059/100 | (4) 187, 187 | (5) 12.4402 | (6) 199.46 | (7) 5.3387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 39.0741/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (336381, 119250) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.8085 | (25) (0.42157, 49-90) | (26) 26794 | (27) -0.33486
