#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 14, Rank-7: (1) 142 | (2) 24185 | (3)0.587141/100 | (4) 874, 874 | (5) 1102.01 | (6) 355.998 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2520.01 | (14) 57.8571/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (3283785, 185068) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 3687.74 | (25) (33.8527, 76-82) | (26) 1 | (27) 66.3929
Output number: 15, Rank-20: (1) 6 | (2) 21761 | (3)0.0275723/100 | (4) 219, 219 | (5) 1494.65 | (6) 395.603 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 70/100 | (15) 0 | (17) (219, 219) | (18) X | (19) (909212, 45070) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4189.59 | (25) (33.621, 8-0) | (26) 3479 | (27) -0.68046
Output number: 15, Rank-26: (1) 21 | (2) 26833 | (3)0.0782618/100 | (4) 766, 766 | (5) 120.798 | (6) 825.245 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 35.037/100 | (15) 0 | (17) (766, 766) | (18) X | (19) (3013062, 158052) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 297.705 | (25) (2.62526, 89-48) | (26) 6735 | (27) -0.68568
Output number: 15, Rank-10: (1) 3 | (2) 18134 | (3)0.0165435/100 | (4) 495, 495 | (5) 1822.37 | (6) 275.12 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 77.6667/100 | (15) 0 | (17) (495, 495) | (18) X | (19) (1996120, 101911) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5850.45 | (25) (37.8357, 130-143) | (26) 3218 | (27) -0.43382
Output number: 15, Rank-21: (1) 3 | (2) 26814 | (3)0.0111882/100 | (4) 736, 736 | (5) 116.975 | (6) 810.125 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 34.3333/100 | (15) 0 | (17) (736, 736) | (18) X | (19) (2918411, 151481) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 270.828 | (25) (0.55119, 123-54) | (26) 10741 | (27) -0.40003
Output number: 15, Rank-25: (1) 6 | (2) 18757 | (3)0.0319881/100 | (4) 198, 198 | (5) 1227.97 | (6) 498.8 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 63.9259/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (813109, 40483) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3438.28 | (25) (33.9882, 128-2) | (26) 6304 | (27) -0.73633
Output number: 15, Rank-27: (1) 248 | (2) 21709 | (3)1.14238/100 | (4) 963, 963 | (5) 1134.46 | (6) 382.753 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 56.1852/100 | (15) 0 | (17) (963, 963) | (18) X | (19) (3805451, 198406) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 3532.42 | (25) (34.0302, 135-6) | (26) 7 | (27) 0.70171
Output number: 15, Rank-12: (1) 5 | (2) 26643 | (3)0.0187667/100 | (4) 755, 755 | (5) 122.862 | (6) 803.621 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 34.2963/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (3019078, 155530) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 281.562 | (25) (0.55061, 128-103) | (26) 277432 | (27) -0.64283
Output number: 15, Rank-7: (1) 142 | (2) 25919 | (3)0.547861/100 | (4) 874, 874 | (5) 1178.79 | (6) 383.588 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 57.8519/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (3463681, 179896) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3688.09 | (25) (34.0125, 72-90) | (26) 652 | (27) -0.71022
Output number: 15, Rank-14: (1) 456 | (2) 26590 | (3)1.71493/100 | (4) 1208, 1208 | (5) 276.8 | (6) 596.187 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 32.2963/100 | (15) 0 | (17) (1208, 1208) | (18) X | (19) (4212444, 248846) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1769.84 | (25) (33.9743, 54-52) | (26) 82204 | (27) -1.84198
Output number: 15, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1061, 1061 | (5) 1408.75 | (6) 314.082 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 63.7778/100 | (15) 0 | (17) (1061, 1061) | (18) X | (19) (4263055, 218645) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 5286.77 | (25) (34.2063, 140-17) | (26) 1 | (27) 0.51176
Output number: 15, Rank-3: (1) 100 | (2) 26779 | (3)0.373427/100 | (4) 833, 833 | (5) 134.105 | (6) 757.57 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 33/100 | (15) 0 | (17) (833, 833) | (18) X | (19) (3321058, 171556) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 492.808 | (25) (2.61951, 55-97) | (26) 149384 | (27) -1.37605
Output number: 15, Rank-17: (1) 309 | (2) 26691 | (3)1.15769/100 | (4) 1048, 1048 | (5) 173.154 | (6) 718.984 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 33.037/100 | (15) 0 | (17) (1048, 1048) | (18) X | (19) (3981426, 214587) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 758.066 | (25) (33.3081, 61-51) | (26) 14130 | (27) -0.36415
Output number: 15, Rank-2: (1) 255 | (2) 26551 | (3)0.960416/100 | (4) 982, 982 | (5) 449.179 | (6) 627.078 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 39.8519/100 | (15) 0 | (17) (982, 982) | (18) X | (19) (3621328, 202269) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2766.66 | (25) (34.5577, 53-76) | (26) 23800 | (27) -0.71224
Output number: 15, Rank-11: (1) 164 | (2) 26742 | (3)0.613268/100 | (4) 898, 898 | (5) 144.884 | (6) 719.764 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 32/100 | (15) 0 | (17) (898, 898) | (18) X | (19) (3584258, 184925) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 333.349 | (25) (0.55315, 95-133) | (26) 2945 | (27) -0.26049
Output number: 15, Rank-6: (1) 12 | (2) 8223 | (3)0.145932/100 | (4) 283, 283 | (5) 1715.08 | (6) 316.005 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 75.2222/100 | (15) 0 | (17) (283, 283) | (18) X | (19) (1158132, 58270) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 4921.68 | (25) (33.9067, 8-135) | (26) 1 | (27) 32.626
Output number: 15, Rank-18: (1) 247 | (2) 26618 | (3)0.927943/100 | (4) 986, 986 | (5) 364.937 | (6) 612.142 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 36.1852/100 | (15) 0 | (17) (986, 986) | (18) X | (19) (3926528, 203074) | (20) 1 | (21) 1 | (22) 0 | (23) 1 | (24) 1121.43 | (25) (33.7809, 16-1) | (26) 860 | (27) 33.0504
Output number: 15, Rank-13: (1) 113 | (2) 18624 | (3)0.606744/100 | (4) 858, 858 | (5) 1827.59 | (6) 212.107 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 75.5185/100 | (15) 0 | (17) (858, 858) | (18) X | (19) (3456926, 176726) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 6550.43 | (25) (39.6181, 138-133) | (26) 1 | (27) 6.37473
Output number: 15, Rank-8: (1) 316 | (2) 1209 | (3)26.1373/100 | (4) 1035, 1035 | (5) 2020.91 | (6) 154.691 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 80.5556/100 | (15) 0 | (17) (1035, 1035) | (18) X | (19) (4145845, 213140) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 6899.95 | (25) (33.8646, 84-80) | (26) 1 | (27) 264.515
Output number: 15, Rank-5: (1) 279 | (2) 466 | (3)59.8712/100 | (4) 984, 984 | (5) 1805.03 | (6) 217.392 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 74.8889/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (4003637, 202519) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 6266.58 | (25) (35.1159, 1-124) | (26) 1 | (27) 100.591
Output number: 15, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 860, 860 | (5) 1936.41 | (6) 177.27 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 78.2593/100 | (15) 0 | (17) (860, 860) | (18) X | (19) (3476829, 177103) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 6911.36 | (25) (35.7481, 12-13) | (26) 1 | (27) 367.261
Output number: 15, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 427, 427 | (5) 2116.91 | (6) 167.4 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 84.5926/100 | (15) 0 | (17) (427, 427) | (18) X | (19) (1934337, 87896) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 6668.37 | (25) (37.9451, 71-73) | (26) 1 | (27) 164.644
Output number: 15, Rank-1: (1) 426 | (2) 16969 | (3)2.51046/100 | (4) 1063, 1063 | (5) 2016.8 | (6) 126.102 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 79.3333/100 | (15) 0 | (17) (1063, 1063) | (18) X | (19) (4238924, 218848) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 6362.3 | (25) (34.3031, 68-59) | (26) 1 | (27) 1.33269
Output number: 15, Rank-9: (1) 57 | (2) 5450 | (3)1.04587/100 | (4) 212, 212 | (5) 2031.3 | (6) 211.272 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 83.037/100 | (15) 0 | (17) (212, 212) | (18) X | (19) (817457, 43631) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 6431.68 | (25) (36.3188, 66-78) | (26) 1 | (27) 105.097
Output number: 15, Rank-15: (1) 84 | (2) 23509 | (3)0.35731/100 | (4) 203, 203 | (5) 1845.84 | (6) 262.41 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 78.0741/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (755959, 41764) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 5386.52 | (25) (34.661, 56-71) | (26) 1 | (27) 401.737
Output number: 15, Rank-4: (1) 129 | (2) 26698 | (3)0.483182/100 | (4) 863, 863 | (5) 307.647 | (6) 705.087 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 37.4815/100 | (15) 0 | (17) (863, 863) | (18) X | (19) (3436961, 177693) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1105.49 | (25) (33.9203, 14-138) | (26) 1 | (27) 32.7737
Output number: 15, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 624, 624 | (5) 2663.24 | (6) 12.0331 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700 | (14) 99.0741/100 | (15) 0 | (17) (624, 624) | (18) X | (19) (2720429, 128618) | (20) 1 | (21) 0 | (22) 0 | (23) 149 | (24) 8679.69 | (25) (39.3617, 92-60) | (26) 1 | (27) 3046.56
Output number: 15, Rank-16: (1) 195 | (2) 19765 | (3)0.986592/100 | (4) 432, 432 | (5) 2308.15 | (6) 86.4691 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700.01 | (14) 88.6667/100 | (15) 0 | (17) (432, 432) | (18) X | (19) (2438151, 90085) | (20) 1 | (21) 1 | (22) 0 | (23) 11 | (24) 7394.21 | (25) (33.7624, 66-58) | (26) 1 | (27) 264.427
Output number: 15, Rank-22: (1) 137 | (2) 24406 | (3)0.561337/100 | (4) 870, 870 | (5) 1289.9 | (6) 374.488 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2700.01 | (14) 61.6296/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (3449753, 179105) | (20) 1 | (21) 1 | (22) 0 | (23) 15 | (24) 3479.53 | (25) (34.0137, 78-73) | (26) 1 | (27) 367.445
Output number: 16, Rank-20: (1) 6 | (2) 23523 | (3)0.025507/100 | (4) 219, 219 | (5) 1581.1 | (6) 426.43 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 69.6875/100 | (15) 0 | (17) (219, 219) | (18) X | (19) (954107, 44895) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4335.99 | (25) (38.4762, 6-9) | (26) 6242 | (27) -0.68046
Output number: 16, Rank-25: (1) 10 | (2) 20514 | (3)0.0487472/100 | (4) 202, 202 | (5) 1299.16 | (6) 535.234 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 63.6806/100 | (15) 0 | (17) (202, 202) | (18) X | (19) (853931, 40822) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3604.38 | (25) (38.3726, 127-8) | (26) 2264 | (27) -0.73633
Output number: 16, Rank-27: (1) 249 | (2) 23455 | (3)1.06161/100 | (4) 964, 964 | (5) 1207.95 | (6) 408.059 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 56.1111/100 | (15) 0 | (17) (964, 964) | (18) X | (19) (4003253, 197802) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3579.11 | (25) (34.0638, 135-6) | (26) 721 | (27) 0.0246
Output number: 16, Rank-6: (1) 12 | (2) 9940 | (3)0.120724/100 | (4) 283, 283 | (5) 1816.53 | (6) 340.243 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 74.8611/100 | (15) 0 | (17) (283, 283) | (18) X | (19) (1216153, 58021) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5139.21 | (25) (38.3309, 0-135) | (26) 12216 | (27) -0.61946
Output number: 16, Rank-21: (1) 3 | (2) 28606 | (3)0.0104873/100 | (4) 736, 736 | (5) 123.123 | (6) 864.197 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 34.2708/100 | (15) 0 | (17) (736, 736) | (18) X | (19) (3069291, 150880) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 558.729 | (25) (2.60581, 136-49) | (26) 41206 | (27) -0.40003
Output number: 16, Rank-11: (1) 165 | (2) 28532 | (3)0.578298/100 | (4) 899, 899 | (5) 152.424 | (6) 768.136 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 31.9444/100 | (15) 0 | (17) (899, 899) | (18) X | (19) (3768270, 184012) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 346.669 | (25) (2.37741, 95-122) | (26) 45861 | (27) -0.26049
Output number: 16, Rank-12: (1) 5 | (2) 28425 | (3)0.0175901/100 | (4) 755, 755 | (5) 129.308 | (6) 858.394 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 34.2708/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (3173853, 154775) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 571.126 | (25) (2.48573, 126-94) | (26) 340193 | (27) -0.64283
Output number: 16, Rank-14: (1) 456 | (2) 28363 | (3)1.60773/100 | (4) 1208, 1208 | (5) 314.173 | (6) 627.991 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 32.7083/100 | (15) 0 | (17) (1208, 1208) | (18) X | (19) (4460084, 247640) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1802.58 | (25) (34.1313, 63-55) | (26) 129653 | (27) -1.84198
Output number: 16, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1056, 1056 | (5) 1518.78 | (6) 331.545 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 64.2361/100 | (15) 0 | (17) (1056, 1056) | (18) X | (19) (4480193, 217138) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 5417.96 | (25) (35.1125, 140-17) | (26) 1 | (27) 0.08957
Output number: 16, Rank-3: (1) 100 | (2) 28571 | (3)0.350005/100 | (4) 833, 833 | (5) 141.109 | (6) 808.505 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 32.9514/100 | (15) 0 | (17) (833, 833) | (18) X | (19) (3491823, 170765) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 601.492 | (25) (2.41756, 48-108) | (26) 229321 | (27) -1.37605
Output number: 16, Rank-18: (1) 247 | (2) 28401 | (3)0.869688/100 | (4) 986, 986 | (5) 388.731 | (6) 654.266 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 36.1806/100 | (15) 0 | (17) (986, 986) | (18) X | (19) (4128659, 202131) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1123.95 | (25) (33.7226, 10-1) | (26) 3831 | (27) -0.33646
Output number: 16, Rank-4: (1) 129 | (2) 28483 | (3)0.452902/100 | (4) 863, 863 | (5) 330.202 | (6) 753.446 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 37.6042/100 | (15) 0 | (17) (863, 863) | (18) X | (19) (3613908, 176947) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1096.64 | (25) (33.4693, 14-143) | (26) 788 | (27) -0.23802
Output number: 16, Rank-26: (1) 21 | (2) 28625 | (3)0.0733624/100 | (4) 766, 766 | (5) 127.131 | (6) 881.183 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 35/100 | (15) 0 | (17) (766, 766) | (18) X | (19) (3170220, 157158) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 550.793 | (25) (2.40756, 87-35) | (26) 26743 | (27) -0.68568
Output number: 16, Rank-2: (1) 258 | (2) 28310 | (3)0.911339/100 | (4) 985, 985 | (5) 506.614 | (6) 659.486 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 40.4861/100 | (15) 0 | (17) (985, 985) | (18) X | (19) (3822900, 201572) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2848.44 | (25) (33.5426, 52-76) | (26) 349 | (27) 32.9652
Output number: 16, Rank-1: (1) 427 | (2) 18570 | (3)2.29941/100 | (4) 1064, 1064 | (5) 2148.44 | (6) 134.59 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 79.2708/100 | (15) 0 | (17) (1064, 1064) | (18) X | (19) (4457136, 218212) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6411.04 | (25) (34.8819, 66-69) | (26) 7713 | (27) -0.75356
Output number: 16, Rank-17: (1) 309 | (2) 28478 | (3)1.08505/100 | (4) 1048, 1048 | (5) 189.388 | (6) 765.885 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 33.1597/100 | (15) 0 | (17) (1048, 1048) | (18) X | (19) (4196271, 214845) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1031.23 | (25) (33.4134, 61-51) | (26) 12521 | (27) -0.36415
Output number: 16, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 860, 860 | (5) 2081.18 | (6) 184.62 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 78.6458/100 | (15) 0 | (17) (860, 860) | (18) X | (19) (3653138, 176309) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 7133.09 | (25) (35.2773, 14-9) | (26) 1 | (27) 298.732
Output number: 16, Rank-9: (1) 57 | (2) 5624 | (3)1.01351/100 | (4) 212, 212 | (5) 2163.61 | (6) 226.411 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 82.9861/100 | (15) 0 | (17) (212, 212) | (18) X | (19) (860907, 43450) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 6615.38 | (25) (41.0796, 68-81) | (26) 1 | (27) 34.5072
Output number: 16, Rank-10: (1) 3 | (2) 19577 | (3)0.0153241/100 | (4) 495, 495 | (5) 1942.72 | (6) 293.758 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 77.6389/100 | (15) 0 | (17) (495, 495) | (18) X | (19) (2097598, 101478) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 6144.05 | (25) (38.3978, 132-132) | (26) 1 | (27) 65.2574
Output number: 16, Rank-22: (1) 137 | (2) 26041 | (3)0.526093/100 | (4) 870, 870 | (5) 1362.23 | (6) 404.434 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 61.3194/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (3628108, 178355) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 3474.43 | (25) (33.9872, 78-73) | (26) 1 | (27) 297.911
Output number: 16, Rank-13: (1) 113 | (2) 19917 | (3)0.567355/100 | (4) 857, 857 | (5) 1954.77 | (6) 225.123 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 75.6597/100 | (15) 0 | (17) (857, 857) | (18) X | (19) (3632813, 175887) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 6573.44 | (25) (36.6927, 135-138) | (26) 1 | (27) 32.0749
Output number: 16, Rank-7: (1) 142 | (2) 27654 | (3)0.513488/100 | (4) 874, 874 | (5) 1255.4 | (6) 411.303 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 57.8472/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (3642781, 179100) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3691.7 | (25) (34.9872, 74-81) | (26) 1 | (27) 67.3922
Output number: 16, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 424, 424 | (5) 2252.84 | (6) 180.523 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 84.4792/100 | (15) 0 | (17) (424, 424) | (18) X | (19) (2021636, 87299) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 6879.88 | (25) (38.6207, 61-82) | (26) 1 | (27) 211.156
Output number: 16, Rank-15: (1) 84 | (2) 25154 | (3)0.333943/100 | (4) 203, 203 | (5) 1956.54 | (6) 284.341 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 77.7778/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (797582, 41623) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 5443.12 | (25) (45.4143, 70-65) | (26) 1 | (27) 399.17
Output number: 16, Rank-16: (1) 196 | (2) 21342 | (3)0.918377/100 | (4) 432, 432 | (5) 2460.54 | (6) 93.2033 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 88.6458/100 | (15) 0 | (17) (432, 432) | (18) X | (19) (2526728, 88577) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 7454.59 | (25) (33.6076, 66-58) | (26) 1 | (27) 296.735
Output number: 16, Rank-5: (1) 279 | (2) 466 | (3)59.8712/100 | (4) 984, 984 | (5) 1936.58 | (6) 229.082 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 75.1736/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (4205421, 201784) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 6497.71 | (25) (36.3408, 13-127) | (26) 1 | (27) 199.86
Output number: 16, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 623, 623 | (5) 2842.05 | (6) 12.4486 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880.01 | (14) 99.0972/100 | (15) 0 | (17) (623, 623) | (18) X | (19) (2848156, 127727) | (20) 1 | (21) 0 | (22) 0 | (23) 153 | (24) 9173.56 | (25) (39.6577, 89-58) | (26) 1 | (27) 3290.99
